Name;Land;Form;Träger;Promotionsrecht;Gründung;Studierende;Stand
FH Aachen; NW;FH;staatlich;nein;1971;13.671;2016/17 (WS)
RWTH Aachen; NW;Uni;staatlich;ja;1870;45.944;2019/20 (WS)
Hochschule Aalen; BW;FH;staatlich;nein;1962;4.970;2012/13 (WS)
Hochschule Albstadt-Sigmaringen; BW;FH;staatlich;nein;1971;2.925;2012/13 (WS)
Alanus Hochschule für Kunst und Gesellschaft (Alfter); NW;FH;privat;ja;2002;914;2012/13 (WS)
Fachhochschule für Verwaltung und Dienstleistung (Altenholz, Reinfeld); SH;FH;staatlich;nein;1975;807;2012/13 (WS)
Ostbayerische Technische Hochschule Amberg-Weiden; BY;FH;staatlich;nein;1994;3.500;2015/16 (WS)
Hochschule für angewandte Wissenschaften Ansbach; BY;FH;staatlich;nein;1996;3.100;2015/16 (WS)
Technische Hochschule Aschaffenburg; BY;FH;staatlich;nein;1995;2.867;2012/13 (WS)
Fachhochschule Polizei Sachsen-Anhalt (Aschersleben); ST;FH;staatlich;nein;1997;316;2012/13 (WS)
Hochschule für angewandte Wissenschaften Augsburg; BY;FH;staatlich;nein;1971;5.895;2015/16 (WS)
Universität Augsburg; BY;Uni;staatlich;ja;1970;19.403;2019/20 (WS)
Hochschule der Bayerischen Wirtschaft (München); BY;FH;privat;nein;2012;147;2015/16 (WS)
Hochschule der Deutschen Gesetzlichen Unfallversicherung (Bad Hersfeld); HE;FH;privat;nein;1996;151;2012/13 (WS)
accadis Hochschule Bad Homburg; HE;FH;privat;nein;1990;553;2012/13 (WS)
IUBH Internationale Hochschule (Erfurt); TH;FH;privat;nein;1998;27.000;2018/19 (WS)
Fachhochschule für Rechtspflege Nordrhein-Westfalen (Bad Münstereifel); NW;FH;staatlich;nein;1976;685;2012/13 (WS)
Diploma Hochschule (Bad Sooden-Allendorf); HE;FH;privat;nein;1994;3.499;2012/13 (WS)
Otto-Friedrich-Universität Bamberg; BY;Uni;staatlich;ja;1647/1972;12.079;2019/20 (WS)
Hochschule für evangelische Kirchenmusik Bayreuth; BY;FH;konfessionell;nein;2000;25;2012/13 (WS)
Universität Bayreuth; BY;Uni;staatlich;ja;1975;12.931;2019/20 (WS)
Akkon-Hochschule für Humanwissenschaften; BE;FH;privat;nein;2009;800;2019/20 (WS)
Alice Salomon Hochschule Berlin; BE;FH;staatlich;nein;1908;3.051;2012/13 (WS)
Bard College Berlin; BE;FH;privat;nein;1999;240;2019/20 (WS)
Berlin International University of Applied Sciences; BE;FH;privat;nein;2014;109;2016/17 (WS)
bbw Hochschule; BE;FH;privat;nein;2007;1.045;2012/13 (WS)
BSP Business School Berlin; BE;FH;privat;nein;2009;346;2012/13 (WS)
Beuth Hochschule für Technik Berlin; BE;FH;staatlich;nein;1823;12.519;2014/15 (WS)
CODE University of Applied Sciences; BE;FH;privat;nein;2017;230;2018/19 (WS)
Dekra Hochschule für Medien; BE;FH;privat;nein;1997;332;2012/13 (WS)
design akademie berlin, SRH Hochschule für Kommunikation und Design; BE;FH;privat;nein;2007;295;2012/13 (WS)
ESCP Business School; BE;FH;privat;ja;1973;736;2019/20 (WS)
European School of Management and Technology; BE;FH;privat;ja;2002;373;2019/20 (WS)
Evangelische Hochschule Berlin; BE;FH;konfessionell;nein;1903;1.372;2012/13 (WS)
SRH Hochschule der populären Künste; BE;FH;privat;nein;2009;269;2012/13 (WS)
Hochschule für Medien, Kommunikation und Wirtschaft; BE;FH;privat;nein;2008;334;2012/13 (WS)
Hochschule für Technik und Wirtschaft Berlin; BE;FH;staatlich;nein;1994;13.922;2018 (SS)
Hochschule für Wirtschaft, Technik und Kultur; BE;FH;privat;nein;2011;440;2017/18 (WS)
Hochschule für Wirtschaft und Recht Berlin; BE;FH;staatlich;nein;1971;11.400;2019 (SS)
Freie Universität Berlin; BE;Uni;staatlich;ja;1948;36.933;2019/20 (WS)
German open Business School; BE;FH;privat;nein;2011;444;2012/13 (WS)
Hertie School; BE;FH;privat;ja;2003;651;2019/20 (WS)
Deutsche Hochschule für Gesundheit und Sport; BE;FH;privat;nein;2007;888;2012/13 (WS)
Hochschule für Musik Hanns Eisler Berlin; BE;FH;staatlich;nein;1950;488;2012/13 (WS)
Hochschule für Schauspielkunst „Ernst Busch“ Berlin; BE;FH;staatlich;nein;1951;221;2012/13 (WS)
Humboldt-Universität zu Berlin; BE;Uni;staatlich;ja;1810;34.929;2019/20 (WS)
IB-Hochschule Berlin; BE;FH;privat;nein;2007;518;2012/13 (WS)
International Psychoanalytic University Berlin; BE;FH;privat;nein;2009;700;2019/20 (WS)
Katholische Hochschule für Sozialwesen Berlin; BE;FH;konfessionell;nein;1991;1.416;2012/13 (WS)
Kunsthochschule Berlin-Weißensee; BE;FH;staatlich;nein;1946;802;2012/13 (WS)
Mediadesign Hochschule; BE;FH;privat;nein;2004;1.279;2012/13 (WS)
Psychologische Hochschule Berlin; BE;FH;privat;nein;2010;458;2019/20 (WS)
SRH Hochschule Berlin; BE;FH;privat;nein;2002;518;2012/13 (WS)
Steinbeis-Hochschule Berlin; BE;FH;privat;ja;1998;8.142;2019/20 (WS)
Technische Universität Berlin; BE;Uni;staatlich;ja;1770;34.708;2019/20 (WS)
Touro College Berlin; BE;FH;privat;nein;2003;122;2012/13 (WS)
Universität der Künste Berlin; BE;FH;staatlich;ja;1696;3.447;2012/13 (WS)
Quadriga Hochschule Berlin; BE;FH;privat;nein;2009;75;2012/13 (WS)
Hochschule Anhalt (Bernburg, Dessau und Köthen); ST;FH;staatlich;nein;1991;4.761;2012/13 (WS)
Hochschule Biberach; BW;FH;staatlich;nein;1964;2.370;2012/13 (WS)
Fachhochschule Bielefeld; NW;FH;staatlich;nein;1971;10.085;2016/17 (WS)
Fachhochschule der Diakonie (Bielefeld); NW;FH;konfessionell;nein;2006;559;2012/13 (WS)
Fachhochschule des Mittelstands (Bielefeld); NW;FH;privat;nein;2000;1.584;2012/13 (WS)
Universität Bielefeld; NW;Uni;staatlich;ja;1969;25.239;2019/20 (WS)
Technische Hochschule Bingen; RP;FH;staatlich;ja;1897;2.731;2019/20 (WS)
EBZ Business School (Bochum); NW;FH;privat;nein;2008;569;2012/13 (WS)
Evangelische Hochschule Rheinland-Westfalen-Lippe (Bochum); NW;FH;konfessionell;nein;1971;2.000;2012/13 (WS)
Hochschule Bochum; NW;FH;staatlich;nein;1972;8.041;2018/19 (WS)
Hochschule für Gesundheit (Bochum); NW;FH;staatlich;nein;2009;491;2012/13 (WS)
Ruhr-Universität Bochum; NW;Uni;staatlich;ja;1962;43.166;2019/20 (WS)
Technische Hochschule Georg Agricola (Bochum); NW;FH;privat;nein;1816;2.178;2012/13 (WS)
Hochschule der Sparkassen-Finanzgruppe (Bonn); NW;FH;privat;nein;2003;919;2012/13 (WS)
Rheinische Friedrich-Wilhelms-Universität Bonn; NW;Uni;staatlich;ja;1818;38.481;2019/20 (WS)
Hochschule Bonn-Rhein-Sieg; NW;FH;staatlich;nein;1995;8.000;2015/16 (WS)
Technische Hochschule Brandenburg; BB;FH;staatlich;nein;1992;2.920;2012/13 (WS)
Medizinische Hochschule Brandenburg Theodor Fontane; BB;Uni;privat;ja;2014;82;2015/16 (WS)
Hochschule für Bildende Künste Braunschweig; NI;FH;staatlich;ja;1963;1.065;2012/13 (WS)
Technische Universität Braunschweig; NI;Uni;staatlich;ja;1745;19.823;2019/20 (WS)
Hochschule Bremen; HB;FH;staatlich;nein;1982;8.917;2012/13 (WS)
Apollon Hochschule der Gesundheitswirtschaft; HB;FH;privat;nein;2005;1.242;2012/13 (WS)
Hochschule für internationale Wirtschaft und Logistik; HB;FH;privat;nein;2009;68;2012/13 (WS)
Hochschule für Künste Bremen; HB;FH;staatlich;nein;1873;903;2012/13 (WS)
Hochschule für Öffentliche Verwaltung Bremen; HB;FH;staatlich;nein;1979;375;2012/13 (WS)
Jacobs University Bremen; HB;Uni;privat;ja;1999;1.466;2019/20 (WS)
Universität Bremen; HB;Uni;staatlich;ja;1971;18.488;2019/20 (WS)
Hochschule Bremerhaven; HB;FH;staatlich;nein;1975;3.093;2012/13 (WS)
Europäische Fachhochschule (Brühl); NW;FH;privat;nein;2001;1.599;2012/13 (WS)
Hochschule des Bundes für öffentliche Verwaltung (Brühl); NW;FH;staatlich;nein;1978;1.085;2012/13 (WS)
hochschule 21 (Buxtehude); NI;FH;privat;nein;1971;714;2012/13 (WS)
SRH Hochschule für Wirtschaft und Medien Calw; BW;FH;privat;nein;1972;299;2012/13 (WS)
Technische Universität Chemnitz; SN;Uni;staatlich;ja;1836;9.914;2019/20 (WS)
Technische Universität Clausthal; NI;Uni;staatlich;ja;1775;3.882;2019/20 (WS)
Hochschule für angewandte Wissenschaften Coburg; BY;FH;staatlich;nein;1971;4.446;2012/13 (WS)
Brandenburgische Technische Universität Cottbus-Senftenberg; BB;Uni;staatlich;ja;2013;6.806;2019/20 (WS)
Evangelische Hochschule Darmstadt; HE;FH;konfessionell;nein;1971;1.603;2012/13 (WS)
Hochschule Darmstadt; HE;FH;staatlich;ja;1971;17.062;2018/19 (WS)
Technische Universität Darmstadt; HE;Uni;staatlich;ja;1877;25.095;2019/20 (WS)
Technische Hochschule Deggendorf; BY;FH;staatlich;nein;1994;5.760;2015/16 (WS)
Hochschule für Musik Detmold; NW;FH;staatlich;ja;1946;646;2012/13 (WS)
Fachhochschule Dortmund; NW;FH;staatlich;nein;1971;14.318;2018/19 (WS)
International School of Management (Dortmund); NW;FH;privat;nein;1990;2.190;2013/14 (SS)
Technische Universität Dortmund; NW;Uni;staatlich;ja;1968;33.706;2019/20 (WS)
Dresden International University; SN;Uni;privat;nein;2003;2.189;2019/20 (WS)
Hochschule für Kirchenmusik Dresden; SN;FH;konfessionell;nein;1949;30;2012/13 (WS)
Evangelische Hochschule Dresden; SN;FH;konfessionell;nein;1991;627;2012/13 (WS)
Fachhochschule Dresden; SN;FH;privat;nein;2010;113;2012/13 (WS)
Hochschule für Bildende Künste Dresden; SN;FH;staatlich;ja;1764;599;2012/13 (WS)
Hochschule für Musik Carl Maria von Weber Dresden; SN;FH;staatlich;ja;1856;554;2012/13 (WS)
Hochschule für Technik und Wirtschaft Dresden; SN;FH;staatlich;nein;1992;5.272;2012/13 (WS)
Palucca Hochschule für Tanz Dresden; SN;FH;staatlich;nein;1925;164;2012/13 (WS)
Technische Universität Dresden; SN;Uni;staatlich;ja;1828;31.126;2019/20 (WS)
Universität Duisburg-Essen; NW;Uni;staatlich;ja;1972/2003;43.029;2019/20 (WS)
Hochschule Düsseldorf; NW;FH;staatlich;nein;1971;8.532;2012/13 (WS)
Fliedner Fachhochschule Düsseldorf; NW;FH;privat;nein;2011;268;2012/13 (WS)
Heinrich-Heine-Universität Düsseldorf; NW;Uni;staatlich;ja;1965;37.473;2019/20 (WS)
IST-Hochschule für Management (Düsseldorf); NW;FH;privat;nein;2013;1.134;2015/16 (WS)
Kunstakademie Düsseldorf; NW;FH;staatlich;ja;1773;608;2012/13 (WS)
Robert Schumann Hochschule Düsseldorf; NW;FH;staatlich;ja;1972;890;2012/13 (WS)
Hochschule für nachhaltige Entwicklung Eberswalde; BB;FH;staatlich;nein;1992;2.033;2012/13 (WS)
Hochschule für Finanzen Rheinland-Pfalz (Edenkoben); RP;FH;staatlich;nein;1981;474;2012/13 (WS)
Katholische Universität Eichstätt-Ingolstadt; BY;Uni;konfessionell;ja;1980;4.769;2019/20 (WS)
Nordakademie (Elmshorn); SH;FH;privat;nein;1992;1.327;2012/13 (WS)
Theologische Hochschule Elstal; BB;FH;konfessionell;nein;1880;65;2015/16 (WS)
Hochschule Emden/Leer; NI;FH;staatlich;nein;2009;4.708;2016/17 (WS)
Hochschule für angewandtes Management (Ismaning); BY;FH;privat;nein;2004;3.000;2018/19 (WS)
Fachhochschule Erfurt; TH;FH;staatlich;nein;1991;4.589;2012/13 (WS)
Universität Erfurt; TH;Uni;staatlich;ja;1392/1994 (1379);5.928;2019/20 (WS)
Friedrich-Alexander-Universität Erlangen-Nürnberg; BY;Uni;staatlich;ja;1742;37.575;2019/20 (WS)
Folkwang Universität der Künste (Essen); NW;FH;staatlich;ja;1927;1.506;2012/13 (WS)
Hochschule der bildenden Künste Essen; NW;FH;privat;nein;2013;139;2017/18 (WS)
FOM – Hochschule für Oekonomie und Management (Essen); NW;FH;privat;nein;1993;55.000;2019/20 (WS)
Hochschule Esslingen; BW;FH;staatlich;nein;1971;6.018;2012/13 (WS)
Theologische Hochschule Ewersbach; HE;FH;konfessionell;nein;"1912; FH seit 2011";67;2012/13 (WS)
Hochschule Flensburg (Fachhochschule); SH;FH;staatlich;nein;1886;4.047;2012/13 (WS)
Europa-Universität Flensburg; SH;Uni;staatlich;ja;1994;5.938;2019/20 (WS)
Frankfurt University of Applied Sciences; HE;FH;staatlich;ja;1971;10.683;2012/13 (WS)
Frankfurt School of Finance & Management; HE;Uni;privat;ja;1957;2.701;2019/20 (WS)
Hochschule für Musik und Darstellende Kunst Frankfurt am Main; HE;FH;staatlich;ja;1938;862;2012/13 (WS)
Johann Wolfgang Goethe-Universität Frankfurt am Main; HE;Uni;staatlich;ja;1914;45.604;2019/20 (WS)
Philosophisch-Theologische Hochschule Sankt Georgen (Frankfurt am Main); HE;FH;konfessionell;ja;1926;335;2012/13 (WS)
Provadis School of International Management and Technology (Frankfurt am Main); HE;FH;privat;nein;2002;897;2012/13 (WS)
Staatliche Hochschule für Bildende Künste – Städelschule (Frankfurt am Main); HE;FH;staatlich;nein;1829;196;2012/13 (WS)
Europa-Universität Viadrina (Frankfurt (Oder)); BB;Uni;staatlich;ja;1506/1992;6.004;2019/20 (WS)
Technische Universität Bergakademie Freiberg; SN;Uni;staatlich;ja;1765;3.830;2019/20 (WS)
Albert-Ludwigs-Universität Freiburg; BW;Uni;staatlich;ja;1457;24.028;2019/20 (WS)
Evangelische Hochschule Freiburg; BW;FH;konfessionell;nein;1918;896;2012/13 (WS)
Hochschule für Musik Freiburg; BW;FH;staatlich;ja;1946;481;2016/17 (WS)
Hochschule für Kunst, Design und Populäre Musik Freiburg; BW;FH;privat;nein;2010;111;2012/13 (WS)
Katholische Hochschule Freiburg; BW;FH;konfessionell;nein;1971;1.716;2012/13 (WS)
Pädagogische Hochschule Freiburg; BW;PH;staatlich;ja;1962;4.535;2016/17 (WS)
Theologische Hochschule Friedensau; ST;FH;konfessionell;nein;1899;188;2012/13 (WS)
Zeppelin Universität (Friedrichshafen); BW;Uni;privat;ja;2003;903;2019/20 (WS)
Hochschule Fulda; HE;FH;staatlich;ja;1974;8.495;2016/17 (WS)
Theologische Fakultät Fulda; HE;FH;konfessionell;ja;1734;43;2012/13 (WS)
Wilhelm Löhe Hochschule für angewandte Wissenschaften (Fürth); BY;FH;privat;nein;2012;103;2015/16 (WS)
Hochschule Furtwangen; BW;FH;staatlich;nein;1850;5.840;2012/13 (WS)
Hochschule Geisenheim; HE;FH;staatlich;ja;2013;1.100;2012/13 (WS)
Fachhochschule für öffentliche Verwaltung Nordrhein-Westfalen (Gelsenkirchen); NW;FH;staatlich;nein;1976;6.881;2012/13 (WS)
Westfälische Hochschule Gelsenkirchen Bocholt Recklinghausen; NW;FH;staatlich;nein;1992;8.731;2019/20 (WS)
Duale Hochschule Gera-Eisenach; TH;DH;staatlich;nein;2016;1.440;2018/19 (WS)
SRH Hochschule für Gesundheit (Gera); TH;FH;privat;nein;2006;486;2012/13 (WS)
Freie Theologische Hochschule Gießen; HE;FH;konfessionell;nein;"1974; FH seit 2008";209;2012/13 (WS)
Justus-Liebig-Universität Gießen; HE;Uni;staatlich;ja;1607;27.727;2019/20 (WS)
Technische Hochschule Mittelhessen (Gießen, Friedberg, Wetzlar); HE;FH;staatlich;ja;1971;18.684;2019/20 (WS)
Thüringer Fachhochschule für öffentliche Verwaltung (Gotha, Meiningen); TH;FH;staatlich;nein;1994;396;2012/13 (WS)
Georg-August-Universität Göttingen; NI;Uni;staatlich;ja;1734;30.153;2019/20 (WS)
PFH Private Hochschule Göttingen; NI;FH;privat;nein;1994;2.013;2012/13 (WS)
Universität Greifswald; MV;Uni;staatlich;ja;1456;10.058;2019/20 (WS)
Fachhochschule für öffentliche Verwaltung, Polizei und Rechtspflege (Güstrow); MV;FH;staatlich;nein;1991;466;2012/13 (WS)
Hochschule der Deutschen Bundesbank (Hachenburg); RP;FH;staatlich;nein;1976;317;2012/13 (WS)
Fernuniversität in Hagen; NW;Uni;staatlich;ja;1974;67.873;2019/20 (WS)
Burg Giebichenstein Kunsthochschule Halle; ST;FH;staatlich;ja;1879;1.059;2012/13 (WS)
Evangelische Hochschule für Kirchenmusik Halle; ST;FH;konfessionell;nein;1993;49;2012/13 (WS)
Martin-Luther-Universität Halle-Wittenberg; ST;Uni;staatlich;ja;1502/1694/ 1817;20.096;2019/20 (WS)
Bucerius Law School; HH;Uni;privat;ja;2000;858;2019/20 (WS)
Brand University of Applied Sciences; HH;FH;privat;nein;2010;90;2012/13 (WS)
EBC Hochschule; HH;FH;privat;nein;2008;873;2012/13 (WS)
Europäische Fernhochschule Hamburg; HH;FH;privat;nein;2003;7.025;2016/17 (WS)
Evangelische Hochschule für Soziale Arbeit & Diakonie; HH;FH;konfessionell;nein;1971;454;2012/13 (WS)
HafenCity Universität Hamburg; HH;Uni;staatlich;ja;2006;2.316;2019/20 (WS)
Hamburger Fern-Hochschule; HH;FH;privat;nein;1997;9.383;2012/13 (WS)
HSBA Hamburg School of Business Administration; HH;FH;privat;nein;2004;1.000;2017/18 (WS)
Hochschule für Angewandte Wissenschaften Hamburg; HH;FH;staatlich;nein;1970;16.746;2018/19 (WS)
Hochschule für bildende Künste Hamburg; HH;FH;staatlich;ja;1767;884;2012/13 (WS)
Hochschule für Musik und Theater Hamburg; HH;FH;staatlich;ja;1950;1.252;2012/13 (WS)
Norddeutsche Akademie für Finanzen und Steuerrecht (Hamburg); HH;FH;staatlich;nein;2007;359;2012/13 (WS)
Northern Institute of Technology Management (Hamburg); HH;Uni;privat;ja;1998;30;2019/20 (WS)
International Business School of Service Management (Hamburg); HH;FH;privat;nein;2006;74;2012/13 (WS)
Kühne Logistics University (Hamburg); HH;Uni;privat;ja;2010;343;2019/20 (WS)
MSH Medical School Hamburg; HH;FH;privat;nein;2009;1.078;2013/14 (WS)
Technische Universität Hamburg; HH;Uni;staatlich;ja;1978;7.615;2019/20 (WS)
Universität Hamburg; HH;Uni;staatlich;ja;1919;43.509;2019/20 (WS)
Hochschule Weserbergland (Hameln); NI;FH;privat;nein;2010;453;2018/19 (WS)
Hochschule Hamm-Lippstadt; NW;FH;staatlich;nein;2009;4.500;2015/16 (WS)
SRH Hochschule Hamm; NW;FH;privat;nein;2004;495;2012/13 (WS)
Fachhochschule für die Wirtschaft Hannover; NI;FH;privat;nein;1996;473;2012/13 (WS)
Gottfried Wilhelm Leibniz Universität Hannover; NI;Uni;staatlich;ja;1831;30.454;2019/20 (WS)
Hochschule für Musik, Theater und Medien Hannover; NI;FH;staatlich;ja;1897;1.287;2012/13 (WS)
Hochschule Hannover; NI;FH;staatlich;nein;1971;10.040;2015/16 (WS)
Kommunale Hochschule für Verwaltung in Niedersachsen (Hannover); NI;FH;privat;nein;2007;806;2012/13 (WS)
Leibniz-Akademie Hannover (Hannover); NI;FH;privat;nein;1920;311;2012/13 (WS)
Medizinische Hochschule Hannover; NI;Uni;staatlich;ja;1961;3.465;2019/20 (WS)
Stiftung Tierärztliche Hochschule Hannover; NI;Uni;staatlich;ja;1778;2.410;2019/20 (WS)
Fachhochschule Westküste (Heide); SH;FH;staatlich;nein;1993;1.320;2012/13 (WS)
Hochschule für Jüdische Studien Heidelberg; BW;FH;konfessionell;ja;1979;98;2019/20 (WS)
Hochschule für Kirchenmusik Heidelberg; BW;FH;konfessionell;nein;1931;;
Pädagogische Hochschule Heidelberg; BW;PH;staatlich;ja;1904;4.458;2016/17 (WS)
Ruprecht-Karls-Universität Heidelberg; BW;Uni;staatlich;ja;1386;27.818;2019/20 (WS)
SRH Hochschule Heidelberg; BW;FH;privat;nein;1972;2.769;2012/13 (WS)
Hochschule Heilbronn; BW;FH;staatlich;nein;1961;7.917;2012/13 (WS)
German Graduate School of Management and Law (Heilbronn); BW;FH;privat;nein;2005;128;2012/13 (WS)
Hochschule für Kirchenmusik der Evangelischen Kirche von Westfalen (Herford); NW;FH;konfessionell;nein;1948;38;2012/13 (WS)
Fachhochschule für Interkulturelle Theologie Hermannsburg; NI;FH;konfessionell;nein;2012;15;2012/13 (WS)
