Name;Land;Form;Träger;Promotionsrecht;Gründung;Studierende;Stand
Norddeutsche Hochschule für Rechtspflege (Hildesheim); NI;FH;staatlich;nein;2007;267;2012/13 (WS)
Universität Hildesheim; NI;Uni;staatlich;ja;1946;8.439;2019/20 (WS)
Hochschule Hildesheim/Holzminden/Göttingen; NI;FH;staatlich;nein;1971;5.193;2012/13 (WS)
Hochschule für Angewandte Wissenschaften Hof; BY;FH;staatlich;nein;1994;3.041;2012/13 (WS)
Hochschule Fresenius (Idstein); HE;FH;privat;nein;1848;5.708;2012/13 (WS)
Technische Universität Ilmenau; TH;Uni;staatlich;ja;1894;5.425;2019/20 (WS)
Technische Hochschule Ingolstadt; BY;FH;staatlich;nein;1994;5.800;2017/18 (WS)
University of Applied Sciences Europe (Iserlohn, Hamburg, Berlin);" NW
 HH
 BE";FH;privat;nein;2017;2.716;2018/19 (WS)
Fachhochschule Südwestfalen (Iserlohn); NW;FH;staatlich;nein;2002;14.017;2016/17 (WS)
Naturwissenschaftlich-Technische Akademie Isny; BW;FH;privat;nein;1945;194;2012/13 (WS)
Ernst-Abbe-Hochschule Jena; TH;FH;staatlich;nein;1991;4.702;2012/13 (WS)
Friedrich-Schiller-Universität Jena; TH;Uni;staatlich;ja;1558;17.066;2019/20 (WS)
Hochschule Kaiserslautern; RP;FH;staatlich;nein;1971;6.107;2017/18 (WS)
Technische Universität Kaiserslautern; RP;Uni;staatlich;ja;1970;14.453;2019/20 (WS)
Hochschule für Musik Karlsruhe; BW;FH;staatlich;ja;1812;598;2016/17 (WS)
Hochschule Karlsruhe – Technik und Wirtschaft; BW;FH;staatlich;nein;1971;7.672;2012/13 (WS)
Karlshochschule International University (Karlsruhe); BW;FH;privat;nein;2004;636;2012/13 (WS)
Karlsruher Institut für Technologie; BW;Uni;staatlich;ja;1825;23.646;2019/20 (WS)
Pädagogische Hochschule Karlsruhe; BW;PH;staatlich;ja;1962;3.742;2016/17 (WS)
Staatliche Akademie der Bildenden Künste Karlsruhe; BW;FH;staatlich;ja;1854;288;2016/17 (WS)
Staatliche Hochschule für Gestaltung Karlsruhe; BW;FH;staatlich;ja;1992;397;2016/17 (WS)
CVJM-Hochschule (Kassel); HE;FH;privat;nein;2009;297;2012/13 (WS)
Kunsthochschule Kassel; HE;FH;staatlich;nein;1777;965;2016/17 (WS)
Universität Kassel; HE;Uni;staatlich;ja;1633/1970;25.058;2019/20 (WS)
Hochschule Kehl; BW;FH;staatlich;nein;1971;991;2012/13 (WS)
Hochschule für angewandte Wissenschaften Kempten; BY;FH;staatlich;nein;1977;5.888;2018/19 (WS)
Christian-Albrechts-Universität zu Kiel; SH;Uni;staatlich;ja;1665;27.101;2019/20 (WS)
Fachhochschule Kiel; SH;FH;staatlich;nein;1969;7.268;2014/15 (WS)
Muthesius Kunsthochschule (Kiel); SH;FH;staatlich;ja;2005;568;2012/13 (WS)
Hochschule Rhein-Waal (Kleve, Kamp-Lintfort); NW;FH;staatlich;nein;2009;5.000;2014/15 (WS)
Hochschule Koblenz; RP;FH;staatlich;nein;1996;9.713;2017/18 (WS)
Universität Koblenz-Landau; RP;Uni;staatlich;ja;1990;17.864;2019/20 (WS)
Hochschule Konstanz Technik, Wirtschaft und Gestaltung; BW;FH;staatlich;nein;1906;4.535;2012/13 (WS)
Universität Konstanz; BW;Uni;staatlich;ja;1966;11.002;2019/20 (WS)
Cologne Business School (Köln); NW;FH;privat;nein;1993;1.123;2012/13 (WS)
Deutsche Sporthochschule Köln; NW;Uni;staatlich;ja;1947;5.794;2019/20 (WS)
Technische Hochschule Köln; NW;FH;staatlich;nein;1971;23.600;2015 (SS)
Hochschule für Musik und Tanz Köln; NW;FH;staatlich;ja;1850;1.568;2012/13 (WS)
Katholische Hochschule Nordrhein-Westfalen (Köln, Münster, Paderborn, Aachen); NW;FH;konfessionell;nein;1971;4.030;2012/13 (WS)
Kunsthochschule für Medien Köln; NW;FH;staatlich;ja;1990;328;2012/13 (WS)
Universität zu Köln; NW;Uni;staatlich;ja;1388/1919;54.105;2019/20 (WS)
Rheinische Fachhochschule Köln; NW;FH;privat;nein;1971 (1958);4.742;2012/13 (WS)
Fachhochschule für Finanzen Brandenburg (Königs Wusterhausen); BB;FH;staatlich;nein;1991;580;2012/13 (WS)
Allensbach Hochschule (Konstanz); BW;FH;privat;nein;1996;269;2014/15 (WS)
Hochschule für angewandte Wissenschaften Landshut; BY;FH;staatlich;nein;1978;5.311;2016/17 (WS)
Handelshochschule Leipzig; SN;Uni;privat;ja;1898;657;2019/20 (WS)
Hochschule für Grafik und Buchkunst Leipzig; SN;FH;staatlich;ja;1764;568;2012/13 (WS)
Hochschule für Musik und Theater „Felix Mendelssohn Bartholdy“ Leipzig; SN;FH;staatlich;ja;1843;1.036;2012/13 (WS)
Hochschule für Technik, Wirtschaft und Kultur Leipzig; SN;FH;staatlich;nein;1992;6.277;2012/13 (WS)
Hochschule für Telekommunikation Leipzig; SN;FH;privat;nein;1991;1.004;2012/13 (WS)
Universität Leipzig; SN;Uni;staatlich;ja;1409;28.727;2019/20 (WS)
Technische Hochschule Ostwestfalen-Lippe (Lemgo); NW;FH;staatlich;nein;1971;6.361;2012/13 (WS)
Internationale Hochschule Liebenzell; BW;FH;konfessionell;nein;2011;69;2012/13 (WS)
Akademie für Darstellende Kunst Baden-Württemberg (Ludwigsburg); BW;FH;staatlich;nein;2007;55;2013/14 (WS)
Filmakademie Baden-Württemberg (Ludwigsburg); BW;FH;staatlich;nein;1991;500;2014
Evangelische Hochschule Ludwigsburg; BW;FH;konfessionell;nein;1971;1.028;2012/13 (WS)
Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg; BW;FH;staatlich;nein;1999;1.902;2012/13 (WS)
Pädagogische Hochschule Ludwigsburg; BW;PH;staatlich;ja;1962;5.639;2016/17 (WS)
Hochschule für Wirtschaft und Gesellschaft Ludwigshafen; RP;FH;staatlich;nein;1965;4.674;2018/19 (WS)
Technische Hochschule Lübeck; SH;FH;staatlich;nein;1969;5.056;2019 (SS)
Leuphana Universität Lüneburg; NI;Uni;staatlich;ja;1946;9.595;2019/20 (WS)
Musikhochschule Lübeck; SH;FH;staatlich;nein;1973;369;2012/13 (WS)
Universität zu Lübeck; SH;Uni;staatlich;ja;1964;5.331;2019/20 (WS)
Otto-von-Guericke-Universität Magdeburg; ST;Uni;staatlich;ja;1993;13.797;2019/20 (WS)
Hochschule Magdeburg-Stendal; ST;FH;staatlich;nein;1991;5.664;2018/19 (WS)
Hochschule Mainz; RP;FH;staatlich;nein;1971;5.607;2018/19 (WS)
Katholische Hochschule Mainz; RP;FH;konfessionell;nein;1972;1.438;2018/19 (WS)
Johannes Gutenberg-Universität Mainz; RP;Uni;staatlich;ja;1477/1946;31.064;2018/19 (WS)
Hochschule der Bundesagentur für Arbeit (Mannheim, Schwerin); BW;FH;staatlich;nein;2006;849;2012/13 (WS)
Hochschule der Wirtschaft für Management Mannheim; BW;FH;privat;nein;2010;238;2012/13 (WS)
Hochschule für Musik und Darstellende Kunst Mannheim; BW;FH;staatlich;ja;1971;594;2016/17 (WS)
Hochschule Mannheim; BW;FH;staatlich;nein;1898;5.106;2012/13 (WS)
Popakademie Baden-Württemberg (Mannheim); BW;FH;staatlich;nein;2003;250;2011
Universität Mannheim; BW;Uni;staatlich;ja;1967;12.088;2019/20 (WS)
Archivschule Marburg; HE;FH;staatlich;nein;1949;49;2012/13 (WS)
Evangelische Hochschule Tabor (Marburg); HE;FH;konfessionell;nein;"1909; FH seit 2009";87;2012/13 (WS)
Philipps-Universität Marburg; HE;Uni;staatlich;ja;1527;23.434;2019/20 (WS)
Hochschule für öffentliche Verwaltung Rheinland-Pfalz (Mayen, Lautzenhausen); RP;FH;staatlich;nein;1981;1.692;2012/13 (WS)
Fachhochschule für öffentliche Verwaltung und Rechtspflege Meißen; SN;FH;staatlich;nein;1992;648;2012/13 (WS)
Hochschule Merseburg; ST;FH;staatlich;nein;1992;2.727;2012/13 (WS)
Hochschule Mittweida; SN;FH;staatlich;nein;1867;7.057;2016 (SS)
Evangelische Hochschule Moritzburg; SN;FH;konfessionell;nein;1872;93;2012/13 (WS)
Hochschule Ruhr West (Mülheim, Bottrop); NW;FH;staatlich;nein;2009;4.400;2015/16 (WS)
Akademie der Bildenden Künste München; BY;FH;staatlich;ja;1808;676;2012/13 (WS)
Hochschule für Angewandte Sprachen München; BY;FH;privat;nein;2006;371;2012/13 (WS)
Hochschule für angewandte Wissenschaften München; BY;FH;staatlich;nein;1971;17.830;2017/18 (WS)
Hochschule für Fernsehen und Film München; BY;FH;staatlich;ja;1966;381;2012/13 (WS)
Hochschule für Musik und Theater München; BY;FH;staatlich;ja;1846;1.033;2012/13 (WS)
Hochschule für Philosophie München; BY;Uni;konfessionell;ja;1925;336;2012/13 (WS)
Hochschule für Politik München; BY;FH;staatlich;ja;1950;434;2019/20 (WS)
Fachhochschule für öffentliche Verwaltung und Rechtspflege in Bayern (München); BY;FH;staatlich;nein;1974;3.824;2012/13 (WS)
Katholische Stiftungshochschule München; BY;FH;konfessionell;nein;1971;2.166;2012/13 (WS)
Ludwig-Maximilians-Universität München; BY;Uni;staatlich;ja;1472;52.425;2019/20 (WS)
Macromedia Hochschule für Medien und Kommunikation (München); BY;FH;privat;nein;2007;2.008;2012/13 (WS)
Munich Business School (München); BY;FH;privat;nein;1991;518;2012/13 (WS)
Technische Universität München; BY;Uni;staatlich;ja;1868;41.768;2019/20 (WS)
Universität der Bundeswehr München; BY;Uni;staatlich;ja;1973;3.453;2019/20 (WS)
Deutsche Hochschule der Polizei (Münster); NW;Uni;staatlich;ja;2006;420;2019/20 (WS)
Fachhochschule Münster; NW;FH;staatlich;nein;1971;15.050;2018/19 (WS)
Kunstakademie Münster; NW;FH;staatlich;ja;1971;332;2012/13 (WS)
Philosophisch-Theologische Hochschule Münster; NW;Uni;konfessionell;nein;1971;62;2012/13 (WS)
Westfälische Wilhelms-Universität (Münster); NW;Uni;staatlich;ja;1780;45.022;2019/20 (WS)
Hochschule für angewandte Wissenschaften Neu-Ulm; BY;FH;staatlich;nein;1994;3.825;2014/2015 (WS)
Hochschule Neubrandenburg; MV;FH;staatlich;nein;1991;2.086;2012/13 (WS)
Augustana-Hochschule Neuendettelsau; BY;Uni;konfessionell;ja;1947;147;2012/13 (WS)
Rheinische Fachhochschule Neuss für Internationale Wirtschaft; NW;FH;privat;nein;2009;177;2012/13 (WS)
Hochschule Niederrhein (Krefeld/Mönchengladbach); NW;FH;staatlich;nein;1971;14.511;2015/16 (WS)
Fachhochschule Nordhausen; TH;FH;staatlich;nein;1997;2.461;2012/13 (WS)
Fachhochschule für Finanzen Nordrhein-Westfalen (Nordkirchen); NW;FH;staatlich;nein;1976;1.464;2012/13 (WS)
Akademie der Bildenden Künste Nürnberg; BY;FH;staatlich;nein;1662;317;2012/13 (WS)
Evangelische Hochschule Nürnberg; BY;FH;konfessionell;nein;1995;1.197;2012/13 (WS)
Hochschule für Musik Nürnberg; BY;FH;staatlich;ja;1998;388;2012/13 (WS)
Technische Hochschule Nürnberg Georg Simon Ohm; BY;FH;staatlich;nein;1823;12.860;2018/19 (WS)
Hochschule für Kunsttherapie Nürtingen; BW;FH;privat;nein;1987;289;2012/13 (WS)
Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen; BW;FH;staatlich;nein;1949;4.577;2012/13 (WS)
Lutherische Theologische Hochschule Oberursel; HE;FH;konfessionell;nein;1948;33;2012/13 (WS)
Hochschule für Gestaltung Offenbach am Main; HE;FH;staatlich;ja;1832;644;2012/13 (WS)
Hochschule Offenburg; BW;FH;staatlich;nein;1964;4.096;2012/13 (WS)
Carl von Ossietzky Universität Oldenburg; NI;Uni;staatlich;ja;1973;15.989;2019/20 (WS)
Fachhochschule der Polizei des Landes Brandenburg (Oranienburg); BB;FH;staatlich;nein;1998;268;2012/13 (WS)
Hochschule Osnabrück; NI;FH;staatlich;nein;1971;13.552;2015/16 (WS)
Universität Osnabrück; NI;Uni;staatlich;ja;1629/1974;13.903;2019/20 (WS)
Hochschule für Künste im Sozialen Ottersberg; NI;FH;privat;nein;1967;431;2012/13 (WS)
Fachhochschule der Wirtschaft (Paderborn); NW;FH;privat;nein;1992;1.874;2012/13 (WS)
Theologische Fakultät Paderborn; NW;Uni;konfessionell;ja;1614;92;2012/13 (WS)
Universität Paderborn; NW;Uni;staatlich;ja;1972;20.306;2019/20 (WS)
Universität Passau; BY;Uni;staatlich;ja;1978;12.264;2019/20 (WS)
Hochschule Pforzheim; BW;FH;staatlich;nein;1877;5.442;2012/13 (WS)
Fachhochschule für Sport & Management Potsdam; BB;FH;privat;nein;2009;119;2012/13 (WS)
Fachhochschule Potsdam; BB;FH;staatlich;nein;1991;3.283;2012/13 (WS)
Filmuniversität Babelsberg Konrad Wolf (Potsdam); BB;Uni;staatlich;ja;1954;863;2019/20 (WS)
Universität Potsdam; BB;Uni;staatlich;ja;1991;21.223;2019/20 (WS)
Hochschule Ravensburg-Weingarten; BW;FH;staatlich;nein;1964;3.621;2019/20 (WS)
Hochschule für Katholische Kirchenmusik und Musikpädagogik Regensburg; BY;FH;konfessionell;nein;2001;90;2012/13 (WS)
Universität Regensburg; BY;Uni;staatlich;ja;1962;20.585;2019/20 (WS)
Ostbayerische Technische Hochschule Regensburg; BY;FH;staatlich;ja;1971;11.000;2015/16 (WS)
Hochschule Reutlingen; BW;FH;staatlich;nein;1855;5.091;2012/13 (WS)
Theologische Hochschule Reutlingen; BW;FH;konfessionell;nein;1877;59;2012/13 (WS)
Mathias Hochschule Rheine; NW;FH;privat;nein;2009;255;2012/13 (WS)
SRH Fernhochschule Riedlingen; BW;FH;privat;nein;1996;5.400;2019/20 (WS)
Technische Hochschule Rosenheim; BY;FH;staatlich;nein;1971;5.900;2015/16 (WS)
Hochschule für Musik und Theater Rostock; MV;Uni;staatlich;ja;1994;555;2012/13 (WS)
Universität Rostock; MV;Uni;staatlich;ja;1419;12.994;2019/20 (WS)
Hessische Hochschule für Finanzen und Rechtspflege (Rotenburg an der Fulda); HE;FH;staatlich;nein;1980;879;2012/13 (WS)
Hochschule der Sächsischen Polizei (FH) (Rothenburg/Oberlausitz); SN;FH;staatlich;nein;1994;374;2012/13 (WS)
Hochschule für Forstwirtschaft Rottenburg; BW;FH;staatlich;nein;"1954; FH seit 1979";1.000;2014/15 (WS)
Katholische Hochschule für Kirchenmusik Rottenburg; BW;FH;konfessionell;nein;1997;40;2010/11 (WS)
Deutsche Hochschule für Prävention und Gesundheitsmanagement (Saarbrücken); SL;FH;privat;nein;2002;3.421;2012/13 (WS)
Fachhochschule für Verwaltung des Saarlandes (Saarbrücken); SL;FH;staatlich;nein;1980;458;2012/13 (WS)
Hochschule der Bildenden Künste Saar (Saarbrücken); SL;FH;staatlich;ja;1989;397;2012/13 (WS)
Hochschule für Musik Saar (Saarbrücken); SL;FH;staatlich;ja;1947;445;2012/13 (WS)
Hochschule für Technik und Wirtschaft des Saarlandes (Saarbrücken); SL;FH;staatlich;nein;1807;5.575;2012/13 (WS)
Universität des Saarlandes (Saarbrücken, Homburg); SL;Uni;staatlich;ja;1948;16.389;2019/20 (WS)
Hochschule Schmalkalden; TH;FH;staatlich;nein;1991;2.836;2012/13 (WS)
Hochschule für Gestaltung Schwäbisch Gmünd; BW;FH;staatlich;nein;1776;642;2012/13 (WS)
Fachhochschule Schwetzingen; BW;FH;staatlich;nein;1953;436;2012/13 (WS)
Pädagogische Hochschule Schwäbisch Gmünd; BW;PH;staatlich;ja;1825;2.712;2016/17 (WS)
Universität Siegen; NW;Uni;staatlich;ja;1972;19.114;2019/20 (WS)
Deutsche Universität für Verwaltungswissenschaften Speyer; RP;Uni;staatlich;ja;1947;420;2019/20 (WS)
Kölner Hochschule für Katholische Theologie (KHKT) – St. Augustin; NW;Uni;konfessionell;ja;1925;104;2012/13 (WS)
Hochschule Stralsund; MV;FH;staatlich;nein;1991;2.453;2012/13 (WS)
AKAD Bildungsgesellschaft (Stuttgart); BW;FH;privat;nein;1959;5.207;2012/13 (WS)
Duale Hochschule Baden-Württemberg (Stuttgart); BW;DH;staatlich;nein;1974/2009;34.242;2016/17 (WS)
Freie Hochschule Stuttgart; BW;FH;privat;nein;1928;300;2012/13 (WS)
Hochschule der Medien (Stuttgart); BW;FH;staatlich;nein;2001;4.085;2012/13 (WS)
Hochschule für Musik und Darstellende Kunst Stuttgart; BW;FH;staatlich;ja;1857;772;2016/17 (WS)
Hochschule für Technik Stuttgart; BW;FH;staatlich;nein;1971;3.738;2012/13 (WS)
Merz Akademie (Stuttgart); BW;FH;privat;nein;1918;250;2012/13 (WS)
Staatliche Akademie der Bildenden Künste Stuttgart; BW;FH;staatlich;ja;1761/1829;840;2016/17 (WS)
VWA Hochschule für berufsbegleitendes Studium Stuttgart; BW;FH;privat;nein;2013;160;2013/14 (WS)
Universität Hohenheim (Stuttgart); BW;Uni;staatlich;ja;1818;8.614;2019/20 (WS)
Universität Stuttgart; BW;Uni;staatlich;ja;1829;24.153;2019/20 (WS)
Hochschule Trier; RP;FH;staatlich;nein;1996;7.357;2018/19 (WS)
Theologische Fakultät Trier; RP;Uni;staatlich;ja;1950;183;2018/19 (WS)
Universität Trier; RP;Uni;staatlich;ja;1473/1970;12.307;2019/20 (WS)
Hochschule für Musik Trossingen; BW;FH;staatlich;ja;1944;463;2016/17 (WS)
Eberhard Karls Universität Tübingen; BW;Uni;staatlich;ja;1477;26.842;2019/20 (WS)
Evangelische Hochschule für Kirchenmusik Tübingen; BW;FH;konfessionell;nein;1998;23;2015/16 (WS)
Technische Hochschule Ulm; BW;FH;staatlich;nein;1971;4.018;2012/13 (WS)
Universität Ulm; BW;Uni;staatlich;ja;1967;10.109;2019/20 (WS)
Philosophisch-Theologische Hochschule Vallendar; RP;Uni;konfessionell;ja;1896;398;2017/18 (WS)
WHU – Otto Beisheim School of Management (Vallendar); RP;Uni;privat;ja;1984;1.371;2019/20 (WS)
Fachhochschule für Wirtschaft und Technik Vechta/Diepholz/Oldenburg; NI;FH;privat;nein;1998;700;2012/13 (WS)
Universität Vechta; NI;Uni;staatlich;ja;1995;4.891;2019/20 (WS)
Hochschule für Polizei Baden-Württemberg; BW;FH;staatlich;nein;1979;1.251;2012/13 (WS)
Fachhochschule Wedel; SH;FH;privat;nein;1969;957;2012/13 (WS)
Hochschule Weihenstephan-Triesdorf; BY;FH;staatlich;nein;1971;6.407;2014/15 (WS)
Bauhaus-Universität Weimar; TH;Uni;staatlich;ja;1860;3.890;2019/20 (WS)
Hochschule für Musik Franz Liszt Weimar; TH;FH;staatlich;ja;1872;828;2012/13 (WS)
Pädagogische Hochschule Weingarten; BW;PH;staatlich;ja;1949;3.233;2016/17 (WS)
Hochschule Harz (Wernigerode und Halberstadt); ST;FH;staatlich;nein;1991;3.182;2012/13 (WS)
EBS Universität für Wirtschaft und Recht (Wiesbaden, Oestrich-Winkel); HE;Uni;privat;ja;1971;1.931;2019/20 (WS)
Hessische Hochschule für Polizei und Verwaltung (Wiesbaden); HE;FH;staatlich;nein;1980;2.692;2012/13 (WS)
Hochschule RheinMain (Wiesbaden und Rüsselsheim); HE;FH;staatlich;ja;1971;13.246;2017/18 (WS)
Wilhelm Büchner Hochschule (Pfungstadt); HE;FH;privat;nein;1997;5.804;2012/13 (WS)
Technische Hochschule Wildau (FH); BB;FH;staatlich;nein;1991;4.152;2012/13 (WS)
Jade Hochschule (Wilhelmshaven, Oldenburg, Elsfleth); NI;FH;staatlich;nein;2009;6.434;2012/13 (WS)
Hochschule Wismar; MV;FH;staatlich;nein;1908;7.379;2012/13 (WS)
Universität Witten/Herdecke; NW;Uni;privat;ja;1982;2.617;2019/20 (WS)
Ostfalia Hochschule für angewandte Wissenschaften (Wolfenbüttel, Salzgitter, Wolfsburg, Suderburg); NI;FH;staatlich;nein;1971;11.042;2012/13 (WS)
Hochschule Worms; RP;FH;staatlich;nein;1978;3.722;2018/19 (WS)
Bergische Universität Wuppertal; NW;Uni;staatlich;ja;1972;22.835;2019/20 (WS)
Kirchliche Hochschule Wuppertal/Bethel; NW;Uni;konfessionell;ja;1905;129;2014 (SS)
Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt; BY;FH;staatlich;nein;1971;9.000;2016/17 (WS)
Hochschule für Musik Würzburg; BY;FH;staatlich;ja;1797;632;2012/13 (WS)
Julius-Maximilians-Universität Würzburg; BY;Uni;staatlich;ja;1402/1582;27.552;2019/20 (WS)
Hochschule Zittau/Görlitz; SN;FH;staatlich;nein;1992;3.342;2012/13 (WS)
DPFA Hochschule Sachsen (Zwickau); SN;FH;privat;nein;2012;27;2012/13 (WS)
NBS Northern Business School – Hochschule für Management und Sicherheit; HH;FH;privat;nein;2013;430;2016 (SS)
Westsächsische Hochschule Zwickau; SN;FH;staatlich;nein;1992;4.880;2012/13 (WS)
Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg; HH;Uni;staatlich;ja;1972;2.809;2019/20 (WS)
media Akademie - Hochschule Stuttgart; BW;FH;privat;nein;2015;110;2018/19 (WS)